Produkt - Produkt,Kassationsårsag (ui),Stk. tøj per kassationsdato,Dage i cirkulation,Total antal vask,Unik Kode (ui),Kategori
04154 Ben Dame M/Skrål HV P/B,Alm.slid uden restværdi,1,2746,66,00D009443B97,Andet
07821 Sort function soft shell,Bortkommet med restværdi,1,2622,2,30155C97D461A7C0004BCAE4,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,2558,25,000096040431,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,2424,6,00D00976EC73,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,2424,1,00D009770356,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,2424,3,00D0097723E2,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,2424,3,00D00977255A,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,2424,6,00D009772631,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,2424,7,00D0097735A2,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,2424,1,00D0097784C8,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,2424,1,00D009781AF5,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,2424,5,00D0097829A9,Andet
22569 Termoundertrøje zip-hals sort,Alm.slid uden restværdi,1,2302,105,30155C97D461A7C000A85BAD,Andet
07112 Undertrøje Højhal L.Ærm Sort,Alm.slid uden restværdi,1,2259,118,300ED89F3350007FE2678570,Andet
07112 Undertrøje Højhal L.Ærm Sort,Alm.slid uden restværdi,1,2259,105,300ED89F3350007FE26785B0,Andet
22318 Softshell Blackpool kl2 gu/m,Alm.slid uden restværdi,1,2112,7,30155C97D461A7C0011A0D99,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,2091,9,30155C97D461A7C000A48868,Andet
22569 Termoundertrøje zip-hals sort,Alm.slid uden restværdi,1,2091,145,30155C97D461A7C000C1C963,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,2089,121,30155C97D461A7C000EA983A,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,2085,129,30155C97D461A7C000EA9733,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,2084,60,30155C97D461A7C000EA8BC3,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,2082,69,30155C97D461A7C000D5D05F,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,2081,78,30155C97D461A7C000EA89D8,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,2080,2,30155C97D461A7C000EA88E1,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,2080,2,30155C97D461A7C000EA9844,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,2078,30,30155C97D461A7C000D5DA3A,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,2076,2,30155C97D461A7C000EA8E1D,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,2075,153,30155C97D461A7C000EA91BC,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,2075,47,30155C97D461A7C000EA9599,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,2075,3,30155C97D461A7C000EA8AFA,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,2072,71,30155C97D461A7C000D5CA2D,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,2070,62,30155C97D461A7C000EA91F9,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,2069,6,30155C97D461A7C000EA9955,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,2068,105,30155C97D461A7C0011A436A,Andet
23197 Rygsæk 2 rum 40L sort,Bortkommet med restværdi,1,2061,2,30155C97D461A7C000E844D4,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,2056,8,30155C97D461A7C000F7F4A6,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,2051,10,30155C97D461A7C0011A4CA1,Andet
23193 Nederdel Mind,Alm.slid uden restværdi,1,2051,70,30155C97D461A7C000EF2B6B,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,2050,27,30155C97D461A7C000EA8660,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,2046,113,30155C97D461A7C000F7C85B,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,2046,125,30155C97D461A7C000F7F56E,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,2044,6,30155C97D461A7C000D8EF30,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,2044,161,30155C97D461A7C0010A2C3C,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,2044,5,30155C97D461A7C0011A42CA,Andet
23193 Nederdel Mind,Alm.slid uden restværdi,1,2044,65,30155C97D461A7C000EF2BA3,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,2043,7,30155C97D461A7C0011A2A57,Andet
23193 Nederdel Mind,Alm.slid uden restværdi,1,2042,70,30155C97D461A7C000F411CF,Andet
07112 Undertrøje Højhal L.Ærm Sort,Alm.slid uden restværdi,1,2041,98,300ED89F3350007FE2680527,Andet
07112 Undertrøje Højhal L.Ærm Sort,Alm.slid uden restværdi,1,2039,125,300ED89F3350007FE26803FC,Andet
07112 Undertrøje Højhal L.Ærm Sort,Alm.slid uden restværdi,1,2039,107,300ED89F3350007FE2680521,Andet
23188 Nederdel Cheans,Alm.slid uden restværdi,1,2039,71,30155C97D461A7C0010A3CE2,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,2036,19,30155C97D461A7C0011A385E,Andet
23188 Nederdel Cheans,Bortkommet med restværdi,1,2034,83,30155C97D461A7C0010A4100,Andet
23180 Tunika da m trykknap Ocean,Udgået Model,1,2033,9,30155C97D461A7C000EA8823,Andet
23180 Tunika da m trykknap Ocean,Udgået Model,1,2033,45,30155C97D461A7C000EA882F,Andet
23180 Tunika da m trykknap Ocean,Udgået Model,1,2033,66,30155C97D461A7C000EA8857,Andet
23180 Tunika da m trykknap Ocean,Udgået Model,1,2033,25,30155C97D461A7C000EA8870,Andet
23180 Tunika da m trykknap Ocean,Udgået Model,1,2033,23,30155C97D461A7C000EA8886,Andet
23180 Tunika da m trykknap Ocean,Udgået Model,1,2033,53,30155C97D461A7C000EA8887,Andet
23180 Tunika da m trykknap Ocean,Udgået Model,1,2033,49,30155C97D461A7C000EA8A3A,Andet
23180 Tunika da m trykknap Ocean,Udgået Model,1,2033,9,30155C97D461A7C000EA9424,Andet
23180 Tunika da m trykknap Ocean,Udgået Model,1,2033,23,30155C97D461A7C000EA954C,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,2029,16,30155C97D461A7C000C1CCF9,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,2028,74,30155C97D461A7C000EA893E,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,2028,114,30155C97D461A7C0011A3C4E,Andet
23180 Tunika da m trykknap Ocean,"Kass. af RETUR,MINIMU,afmeld",1,2025,2,30155C97D461A7C000EA8F5C,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,2022,33,30155C97D461A7C000F7FA36,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,2017,8,30155C97D461A7C0011A348C,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,2016,21,30155C97D461A7C000C78928,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,2015,83,30155C97D461A7C0011A3BF8,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,2015,27,30155C97D461A7C000F7C7E1,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,2015,22,30155C97D461A7C000F7C8C9,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,2015,16,30155C97D461A7C000F7C98D,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,2015,24,30155C97D461A7C0011A32BE,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,2015,92,30155C97D461A7C0011A366A,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,2015,84,30155C97D461A7C0011A476A,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,2012,82,30155C97D461A7C0011A4030,Andet
23193 Nederdel Mind,Alm.slid uden restværdi,1,2012,60,30155C97D461A7C00103FC60,Andet
23180 Tunika da m trykknap Ocean,Udgået Model,1,2004,29,30155C97D461A7C0011A44FA,Andet
23193 Nederdel Mind,Alm.slid uden restværdi,1,2002,10,30155C97D461A7C000E976E9,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1998,96,30155C97D461A7C0011A432D,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1998,6,30155C97D461A7C000F7C8DC,Andet
23193 Nederdel Mind,Alm.slid uden restværdi,1,1983,9,30155C97D461A7C00103FC8F,Andet
23193 Nederdel Mind,Alm.slid uden restværdi,1,1983,8,30155C97D461A7C00103FCF4,Andet
23193 Nederdel Mind,Alm.slid uden restværdi,1,1983,8,30155C97D461A7C00103FD37,Andet
07112 Undertrøje Højhal L.Ærm Sort,Alm.slid uden restværdi,1,1978,116,300ED89F33500060009D8645,Andet
07112 Undertrøje Højhal L.Ærm Sort,Alm.slid uden restværdi,1,1978,100,300ED89F33500060009D873D,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1977,11,30155C97D461A7C000EA9398,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1975,129,30155C97D461A7C0011A4DC1,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1968,7,30155C97D461A7C000D5DA74,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1966,12,30155C97D461A7C0010A2BB5,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1962,45,30155C97D461A7C0011A39A2,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1961,55,30155C97D461A7C0011A464B,Andet
23188 Nederdel Cheans,Alm.slid uden restværdi,1,1961,78,30155C97D461A7C0009127F3,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1958,21,30155C97D461A7C000C1C575,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1954,23,30155C97D461A7C0011A2959,Andet
23193 Nederdel Mind,Alm.slid uden restværdi,1,1954,12,30155C97D461A7C00103FC74,Andet
05035 Kasket Como P/B LH Navy,BTS fejl uden restværdi,1,1952,10,30155C97D461A7C000C1CA0A,Andet
05035 Kasket Como P/B LH Navy,BTS fejl uden restværdi,1,1952,19,30155C97D461A7C000C1CA89,Andet
05035 Kasket Como P/B LH Navy,BTS fejl uden restværdi,1,1952,18,30155C97D461A7C000C1CABF,Andet
23188 Nederdel Cheans,Bortkommet med restværdi,1,1950,15,30155C97D461A7C000EA7467,Andet
23188 Nederdel Cheans,Bortkommet med restværdi,1,1950,17,30155C97D461A7C000EB4DC8,Andet
23188 Nederdel Cheans,Alm.slid uden restværdi,1,1947,62,30155C97D461A7C000BBD139,Andet
05035 Kasket Como P/B LH Navy,BTS fejl uden restværdi,1,1945,16,30155C97D461A7C000C1C9AE,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1945,21,30155C97D461A7C000EA863D,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1934,61,30155C97D461A7C0011A48EB,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1922,7,30155C97D461A7C000F7D056,Andet
23193 Nederdel Mind,Bortkommet med restværdi,1,1910,6,30155C97D461A7C000ED6F43,Andet
05035 Kasket Como P/B LH Navy,BTS fejl uden restværdi,1,1909,8,30155C97D461A7C000C786C6,Andet
22569 Termoundertrøje zip-hals sort,Alm.slid uden restværdi,1,1908,107,30155C97D461A7C000C78098,Andet
07363 Kalot Sort p/b CC,"Kass. af RETUR,MINIMU,afmeld",1,1893,31,30155C97D461A7C001110D9A,Andet
07363 Kalot Sort p/b CC,"Kass. af RETUR,MINIMU,afmeld",1,1893,33,30155C97D461A7C0013DADCE,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1886,25,30155C97D461A7C0011A4735,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1883,86,30155C97D461A7C000D5DB00,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1879,27,30155C97D461A7C000BBEC8B,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1874,32,30155C97D461A7C0011A4BE1,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1868,22,30155C97D461A7C0011A433C,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1865,13,30155C97D461A7C000D5C9C8,Andet
23188 Nederdel Cheans,Alm.slid uden restværdi,1,1857,76,30155C97D461A7C0010A41EB,Andet
07363 Kalot Sort p/b CC,"Kass. af RETUR,MINIMU,afmeld",1,1854,23,30155C97D461A7C001C75AB9,Andet
07363 Kalot Sort p/b CC,"Kass. af RETUR,MINIMU,afmeld",1,1854,26,30155C97D461A7C001C75ABF,Andet
07363 Kalot Sort p/b CC,"Kass. af RETUR,MINIMU,afmeld",1,1854,22,30155C97D461A7C001C75B0F,Andet
07363 Kalot Sort p/b CC,"Kass. af RETUR,MINIMU,afmeld",1,1854,18,30155C97D461A7C001C75B16,Andet
07363 Kalot Sort p/b CC,"Kass. af RETUR,MINIMU,afmeld",1,1854,13,30155C97D461A7C001C75B95,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1852,20,30155C97D461A7C000F82996,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1847,31,30155C97D461A7C000F82AE6,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1844,58,30155C97D461A7C000EA92D5,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1844,48,30155C97D461A7C00109B7DE,Andet
25116 Mulepose HKScan marine,Alm.slid uden restværdi,1,1843,130,30155C97D461A7C001489BBD,Andet
23193 Nederdel Mind,Alm.slid uden restværdi,1,1840,32,30155C97D461A7C00103FC69,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1837,10,30155C97D461A7C0011A4D6C,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1836,20,30155C97D461A7C000A485C2,Andet
03643 Arb.Sko Al Hit 2XL+ S3HRO,BTS fejl uden restværdi,1,1834,3,00D00A56561B,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1826,47,30155C97D461A7C000F7C8F4,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1819,8,30155C97D461A7C0010A37E6,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1810,40,30155C97D461A7C000F7F4C8,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1800,102,30155C97D461A7C0010A3896,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1799,30,30155C97D461A7C0011A4B9F,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1798,54,30155C97D461A7C0010A49C5,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1792,7,00D0097810AA,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1792,12,00D009782183,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1792,20,00D009782521,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1792,30,00D009782F60,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1792,33,00D009783FED,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1791,12,00D0092AC7BD,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1791,19,00D0092BCE06,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1791,17,00D0096CA89D,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1791,18,00D00977E467,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1791,19,00D009781AA6,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1791,20,00D009AE0B5B,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1791,18,00D009AE83BC,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1791,28,00D009AEECE5,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1791,9,30155C97D461A7C0012BE32E,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1791,13,30155C97D461A7C0012BE376,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1791,32,30155C97D461A7C0012BE397,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1791,35,30155C97D461A7C0012BE3FC,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1791,17,30155C97D461A7C0012BE40F,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1791,5,30155C97D461A7C0012BE497,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1791,39,30155C97D461A7C0012BE4B3,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1791,15,30155C97D461A7C0012BE4B9,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1791,8,30155C97D461A7C0012BF134,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1791,28,30155C97D461A7C0012BF555,Andet
01873 Kasket I.hår m/net-hvid skyg,Misligholdt med restværdi,1,1790,35,00D009782167,Andet
01873 Kasket I.hår m/net-hvid skyg,Misligholdt med restværdi,1,1790,17,30155C97D461A7C0012BE40F,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1776,13,30155C97D461A7C000F7C8D8,Andet
23197 Rygsæk 2 rum 40L sort,Alm.slid uden restværdi,1,1775,2,30155C97D461A7C000E82BA5,Andet
07044 Kasket Mdgrøn M/Net P/B,BTS fejl uden restværdi,1,1773,4,30155C97D461A7C000A88669,Andet
07112 Undertrøje Højhal L.Ærm Sort,Alm.slid uden restværdi,1,1764,104,300ED89F3350005FE252C88A,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1754,63,30155C97D461A7C000D5DA33,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1743,37,30155C97D461A7C0012BE444,Andet
"29672 Softshell Galaxy, Sort/grå",BTS fejl uden restværdi,1,1737,0,00172452,Andet
07363 Kalot Sort p/b CC,"Kass. af RETUR,MINIMU,afmeld",1,1727,9,30155C97D461A7C000D2D40B,Andet
07044 Kasket Mdgrøn M/Net P/B,BTS fejl uden restværdi,1,1720,14,30155C97D461A7C001C7D757,Andet
07044 Kasket Mdgrøn M/Net P/B,BTS fejl uden restværdi,1,1720,15,30155C97D461A7C001C7D79C,Andet
07044 Kasket Mdgrøn M/Net P/B,BTS fejl uden restværdi,1,1720,2,30155C97D461A7C001C7D7B7,Andet
07044 Kasket Mdgrøn M/Net P/B,BTS fejl uden restværdi,1,1720,7,30155C97D461A7C001C7D7FC,Andet
07044 Kasket Mdgrøn M/Net P/B,BTS fejl uden restværdi,1,1720,16,30155C97D461A7C001C7D80B,Andet
07044 Kasket Mdgrøn M/Net P/B,BTS fejl uden restværdi,1,1720,10,30155C97D461A7C001C7D830,Andet
07044 Kasket Mdgrøn M/Net P/B,BTS fejl uden restværdi,1,1720,3,30155C97D461A7C001C7D857,Andet
07044 Kasket Mdgrøn M/Net P/B,BTS fejl uden restværdi,1,1720,18,30155C97D461A7C001C7D8A2,Andet
07044 Kasket Mdgrøn M/Net P/B,BTS fejl uden restværdi,1,1720,20,30155C97D461A7C001C7D8A5,Andet
23188 Nederdel Cheans,BTS fejl uden restværdi,1,1714,78,30155C97D461A7C000D5CCDD,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1708,74,30155C97D461A7C000D5DBDD,Andet
23188 Nederdel Cheans,Alm.slid uden restværdi,1,1707,70,30155C97D461A7C000D5CCD0,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1704,87,30155C97D461A7C000D5C9DC,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1676,75,30155C97D461A7C0011A4B0B,Andet
07363 Kalot Sort p/b CC,"Kass. af RETUR,MINIMU,afmeld",1,1675,16,30155C97D461A7C001E20B57,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1664,70,30155C97D461A7C0011A3EE3,Andet
13789 Softshell Tampa sort Indust,BTS fejl uden restværdi,1,1653,0,00177947,Andet
07044 Kasket Mdgrøn M/Net P/B,BTS fejl uden restværdi,1,1646,12,30155C97D461A7C001489A07,Andet
07044 Kasket Mdgrøn M/Net P/B,BTS fejl uden restværdi,1,1646,4,30155C97D461A7C001489A9C,Andet
07044 Kasket Mdgrøn M/Net P/B,BTS fejl uden restværdi,1,1646,12,30155C97D461A7C001489AF2,Andet
07044 Kasket Mdgrøn M/Net P/B,BTS fejl uden restværdi,1,1646,13,30155C97D461A7C001C7D8FB,Andet
07044 Kasket Mdgrøn M/Net P/B,BTS fejl uden restværdi,1,1646,11,30155C97D461A7C001C7D93D,Andet
07044 Kasket Mdgrøn M/Net P/B,BTS fejl uden restværdi,1,1646,1,30155C97D461A7C001C7D966,Andet
07044 Kasket Mdgrøn M/Net P/B,BTS fejl uden restværdi,1,1646,18,30155C97D461A7C001C7DA4D,Andet
07044 Kasket Mdgrøn M/Net P/B,BTS fejl uden restværdi,1,1646,19,30155C97D461A7C001C7DA57,Andet
07044 Kasket Mdgrøn M/Net P/B,BTS fejl uden restværdi,1,1646,17,30155C97D461A7C001C7DA9C,Andet
07044 Kasket Mdgrøn M/Net P/B,BTS fejl uden restværdi,1,1646,2,30155C97D461A7C001C7DAAF,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1643,27,00D00976E64D,Andet
07363 Kalot Sort p/b CC,"Kass. af RETUR,MINIMU,afmeld",1,1639,5,00D009F0A143,Andet
07363 Kalot Sort p/b CC,"Kass. af RETUR,MINIMU,afmeld",1,1639,4,00D009F12487,Andet
07363 Kalot Sort p/b CC,"Kass. af RETUR,MINIMU,afmeld",1,1639,6,00D009F125F4,Andet
07363 Kalot Sort p/b CC,"Kass. af RETUR,MINIMU,afmeld",1,1639,5,30155C97D461A7C000C77B35,Andet
07044 Kasket Mdgrøn M/Net P/B,Alm.slid uden restværdi,1,1635,21,30155C97D461A7C001C7D989,Andet
01754 Rullekrave Bluse Hvid Bomuld,Misligholdt med restværdi,1,1625,47,30155C97D461A7C00122F16A,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1615,17,30155C97D461A7C000D5D01F,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1612,35,00D00978101D,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1612,28,00D009781A86,Andet
04154 Ben Dame M/Skrål HV P/B,Alm.slid uden restværdi,1,1611,37,00D00A23D1AD,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1602,14,30155C97D461A7C000C78966,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1598,6,30155C97D461A7C000EA8DF3,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1587,37,30155C97D461A7C000F7CEC6,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1578,14,30155C97D461A7C000EA987B,Andet
07363 Kalot Sort p/b CC,"Kass. af RETUR,MINIMU,afmeld",1,1574,6,30155C97D461A7C001E20B84,Andet
22334 Vinterkedel Airtech kl3 gu/m,Misligholdt med restværdi,1,1571,23,30155C97D461A7C0022FA220,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1570,3,30155C97D461A7C0011A3EA0,Andet
22321 Softshell Kiama kl2 gu/mblå,Misligholdt med restværdi,1,1561,14,30155C97D461A7C001EDC48A,Andet
05035 Kasket Como P/B LH Navy,BTS fejl uden restværdi,1,1560,6,30155C97D461A7C001259003,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1559,19,30155C97D461A7C0011A35C2,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1546,3,30155C97D461A7C0010A2B90,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1545,69,30155C97D461A7C00109BF0B,Andet
04154 Ben Dame M/Skrål HV P/B,Misligholdt med restværdi,1,1543,46,00D00A23CD66,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1543,4,30155C97D461A7C000F82AD8,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1523,102,30155C97D461A7C0011A4B39,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1507,39,30155C97D461A7C000EB6B97,Andet
23188 Nederdel Cheans,Alm.slid uden restværdi,1,1494,69,30155C97D461A7C0011A6EC3,Andet
23188 Nederdel Cheans,Alm.slid uden restværdi,1,1491,77,30155C97D461A7C0011A6F28,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1489,29,00D0097729AC,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1489,14,00D00977BAFA,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1489,24,00D00977EF94,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1489,18,00D009781E6F,Andet
23188 Nederdel Cheans,Alm.slid uden restværdi,1,1487,80,30155C97D461A7C0011A6E7F,Andet
07363 Kalot Sort p/b CC,"Kass. af RETUR,MINIMU,afmeld",1,1486,21,30155C97D461A7C001F7D53A,Andet
07112 Undertrøje Højhal L.Ærm Sort,Alm.slid uden restværdi,1,1477,102,30155C97D461A7C000A47646,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1452,31,30155C97D461A7C0011A4183,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1442,44,30155C97D461A7C0011A4D4B,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1429,9,00D008C3DEC5,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1429,25,00D008C48F9E,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1429,19,00D0092AB148,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1429,25,00D0092B6675,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1429,29,00D0092B8FCF,Andet
01873 Kasket I.hår m/net-hvid skyg,BTS fejl uden restværdi,1,1429,11,00D0092BD162,Andet
